Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Entrepreneurial Interest,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?
1,27,Male,Arts,3.18,8,Entrepreneur,90624,No,688,7.9,Loan,Finance Manager,156165,Entrepreneurship,On-Campus,Yes
2,24,Male,Arts,3.03,4,Analyst,53576,Yes,791,3.8,Loan,Startup Founder,165612,Career Growth,Online,No
3,33,Female,Business,3.66,9,Engineer,79796,No,430,6.7,Scholarship,Consultant,122248,Skill Enhancement,Online,No
4,31,Male,Engineering,2.46,1,Manager,105956,No,356,1.0,Loan,Consultant,123797,Entrepreneurship,On-Campus,No
5,28,Female,Unknown,2.75,9,Entrepreneur,96132,No,472,9.5,Loan,Consultant,197509,Skill Enhancement,Online,Yes
6,33,Male,Unknown,3.58,3,Manager,101925,No,409,3.4,Scholarship,Marketing Director,99591,Networking,On-Campus,No
7,25,Female,Arts,3.06,5,Consultant,81962,No,369,9.2,Self-funded,Executive,119223,Networking,Online,No
8,27,Male,Engineering,2.8,6,Engineer,100072,Yes,588,2.9,Loan,Finance Manager,199447,Entrepreneurship,On-Campus,Yes
9,30,Female,Arts,2.06,6,Entrepreneur,118689,Yes,521,9.1,Scholarship,Executive,76037,Career Growth,On-Campus,Yes
10,23,Female,Arts,3.51,3,Entrepreneur,112387,No,671,6.0,Scholarship,Startup Founder,92294,Entrepreneurship,Online,Yes
11,27,Male,Arts,3.94,9,Analyst,39156,No,652,2.6,Employer,Executive,119126,Networking,On-Campus,No
12,31,Female,Arts,3.24,9,Manager,72597,No,749,3.9,Loan,Finance Manager,69698,Entrepreneurship,On-Campus,Yes
13,31,Male,Economics,3.71,4,Entrepreneur,81938,No,482,8.5,Employer,Consultant,159371,Entrepreneurship,On-Campus,No
14,28,Female,Science,3.03,3,Manager,114728,No,440,9.6,Employer,Consultant,97889,Entrepreneurship,Online,Yes
15,25,Female,Engineering,2.46,9,Consultant,84941,No,676,8.9,Employer,Marketing Director,190224,Skill Enhancement,Online,Yes
16,24,Male,Economics,2.03,5,Analyst,62979,No,748,8.8,Self-funded,Marketing Director,173363,Networking,On-Campus,Yes
17,28,Male,Science,3.31,6,Consultant,110931,No,466,1.0,Employer,Marketing Director,193921,Networking,Online,Yes
18,28,Male,Science,2.99,1,Analyst,90655,Yes,601,5.0,Loan,Finance Manager,180546,Career Growth,On-Campus,No
19,23,Male,Science,3.56,9,Analyst,53915,Yes,538,8.5,Scholarship,Marketing Director,82471,Skill Enhancement,Online,Yes
20,26,Male,Economics,3.39,2,Manager,87774,No,298,1.3,Scholarship,Marketing Director,147362,Career Growth,Online,Yes
21,25,Male,Engineering,3.98,7,Analyst,33258,Yes,428,7.2,Scholarship,Executive,72714,Career Growth,Online,Yes
22,22,Male,Business,3.02,6,Consultant,112179,No,785,5.5,Scholarship,Executive,166538,Skill Enhancement,Online,Yes
23,28,Female,Science,2.85,0,Consultant,64522,No,526,8.1,Scholarship,Executive,137619,Skill Enhancement,Online,No
24,32,Male,Business,2.57,3,Consultant,73357,No,659,3.3,Scholarship,Marketing Director,65370,Career Growth,On-Campus,No
25,34,Male,Business,2.95,4,Manager,92146,Yes,396,8.9,Employer,Marketing Director,104662,Skill Enhancement,Online,No
26,26,Female,Arts,3.75,2,Manager,95581,No,710,3.7,Scholarship,Startup Founder,87905,Entrepreneurship,Online,No
27,22,Male,Business,2.08,3,Engineer,54538,No,313,9.6,Loan,Marketing Director,122034,Entrepreneurship,On-Campus,No
28,32,Male,Arts,3.96,9,Entrepreneur,64723,No,614,6.8,Employer,Marketing Director,85873,Skill Enhancement,Online,Yes
29,25,Male,Engineering,3.99,9,Engineer,32274,No,729,2.8,Employer,Marketing Director,144660,Entrepreneurship,On-Campus,No
30,21,Female,Engineering,3.2,9,Engineer,37735,No,666,8.0,Self-funded,Executive,96946,Career Growth,On-Campus,No
31,32,Female,Arts,2.66,6,Analyst,31739,No,793,5.8,Employer,Marketing Director,154959,Skill Enhancement,Online,No
32,30,Male,Engineering,2.45,7,Analyst,117586,No,750,4.7,Self-funded,Executive,119391,Skill Enhancement,Online,Yes
33,26,Female,Science,2.55,8,Engineer,110849,Yes,693,5.2,Self-funded,Executive,177546,Networking,On-Campus,No
34,33,Female,Engineering,2.1,1,Entrepreneur,43549,No,636,4.6,Scholarship,Finance Manager,140714,Skill Enhancement,Online,Yes
35,32,Female,Arts,2.95,3,Engineer,108948,No,256,7.4,Self-funded,Marketing Director,163083,Networking,On-Campus,Yes
36,29,Female,Science,2.11,0,Manager,61510,No,438,3.3,Scholarship,Executive,114106,Networking,On-Campus,Yes
37,21,Female,Business,3.44,2,Consultant,112253,Yes,503,5.6,Employer,Executive,196140,Entrepreneurship,On-Campus,Yes
38,31,Male,Business,2.74,7,Engineer,97066,No,769,7.8,Loan,Executive,120725,Skill Enhancement,Online,Yes
39,31,Male,Business,2.4,6,Analyst,30555,Yes,760,2.3,Loan,Marketing Director,166030,Skill Enhancement,On-Campus,Yes
40,30,Male,Arts,3.09,7,Entrepreneur,56624,No,471,3.6,Scholarship,Startup Founder,136291,Entrepreneurship,Online,No
